用户名,时间,评论内容
小Z,2022-08-10T23:46:07.000Z,"无漂流，不夏天，炎炎夏日放肆漂流才是对夏天最起码的尊重，但如何才能玩的尽兴呢？现在就为大家推荐豫西大峡谷漂流攻略。	位置：直接导航豫西大峡谷，洛阳高速开车过去2个小时，低速4个小时。	高速防控疫情：他们这儿检查的不严格，下了高速都没有人检查，只有一个做核酸检测的小屋子，我们看前面的旅游大巴车直接开走了我们也直接开走了，我们是河南省以内的没有做核酸检测就去了。	关于买票你必须认真看了🈲🈲：美团，携程，网上买票的人员一定一定要提前三个小时买票，必须提前三个小时买票，不然你到了可能进不去，时间卡的非常严格，少一秒都不行，门口有凳子是专门为不够时间的人员准备的，所以不想浪费时间的一定一定要提前三个小时‼️‼️	关于漂流：我们是12.46进去的13.40左右出来的，当时心态都崩溃了，感觉还没玩就结束了，太太太快了，这个漂流中间很少有休息的地方，然后泼水的人很少大家基本上都在向前划船，所以一直划一直划就划出去了，奉劝去的各位一定要在水里多玩一会，不然180的门票钱太亏了。	女生建议穿长袖长裤，因为我亲眼见一个女的晒成了两半截。	必须要带㊙️㊙️：换洗衣服，洗漱用品，洗发水沐浴露，洗面奶，护肤品，一次性浴巾毛巾，这个地方没有公用的吹风机，如果你们想吹头就自己带吹风机，洗澡的地方收拾的还是蛮不错的，大家可以背个包把东西全放进去，里面有运送车可以把东西都运送在终点洗澡的地方，价格30块钱一位。	玩水的工具🧰：最好在刚下高速路口不远处就有卖的，比里面卖的便宜太多了，你还可以讲价格，越往里面越贵。	关于吃：大家其实可以不用带很多吃的，因为里面的物价真的真的不贵，我买的烤肠3块钱老冰棍2块钱，我觉得物价还是可以的，所以没必要带很多吃的。	别的大家有什么想问的可以在评论区留言，我都会回复的"
夏日甜心圆圆,2022-07-24T08:45:13.000Z,挺好玩的，就是有点刺激，不会游泳对水就有点害怕，总的来说经验刺激，也很酷爽，嘻嘻清凉一夏（下）
阿天酱,2022-07-10T01:29:21.000Z,现在漂流开放时间为中午12:30-下午16:30，大家要去玩一定要注意好时间。注意好时间，最好防护，这个时间点真的太晒了（紫外线强烈），在水里感觉不出来，出水胳膊疼就变色。可以带上换洗衣服、洗漱用品；在景区停车场可以存下衣物；漂流终点可以免费洗漱（只有淋浴）。终点结束返程，景区观光车20元/位，建议天气不太热可以步行返回；刚好是沿着漂流的路线回程；可以再次感受下尖叫声。
姑凉你好哈,2022-07-03T14:17:40.000Z,挺好玩的，景区里有的农家乐有烤炉，可以租过来自己烧烤，嗨的一批
郭郭小可爱,2022-06-01T11:12:24.000Z,位置有点偏，自驾游可以去，公共交通不太方便，我是从卢氏出发坐出租车过去的，车费有点贵。漂流很好玩，玩着漂着两个小时，结束有洗浴的地方，可以把衣服随车寄下来，一二十块，凉鞋水枪盆，防水袋，购票大厅旁边就有，也不是很贵。吊桥还行，忘记玩悬崖秋千了，其他的都玩了，准备下次去玩悬崖秋千。其他的好玩但是不刺激。值得去体验一下。
玉生烟19801986,2021-11-22T01:43:02.000Z,好景好地好风景，春暖花开的时候要去哦，
水瓶119,2021-11-01T06:04:18.000Z,从北京开车特意过来体验的，也是通过**视频而来。整体感觉不错！漂流的时间长，从上船到下船🚢印象里应该是得有2个多小时，人是真的多。刚上船在一个大湖面，水质一般。但进入漂流区域水还是挺干净的。带8岁儿子来玩，我们俩都玩得非常开心，虽然全身湿透。
匿名用户,2021-10-12T15:40:37.000Z,漂流很刺激，全程时长大概50分钟左右吧，觉得是整个河南最好玩的漂流！有好几个弯道很刺激，还有大概2-3个山洞，就在洞里飘呀飘呀、有一个虎什么洞，很刺激，下坡路，超级爽，全程尖叫哈哈😆而且在往返的路上还碰到彩虹了！你说说有多幸运吧嘻嘻……
星河暗恋记,2021-09-27T02:20:08.000Z,八百里伏牛山，天然的地形孕育出了许多美景烈日炎炎🌞与三五好友👬来一场说走就走的旅行霸 豫西大峡谷，惊险刺激~夏天漂流避暑的好去处落差210米 全程6公里 用时大约1.5小时~景区接待能力有限，游客多的话秩序会非常混乱，工作人员的素质也有待提高。尽管如此，游玩的体验感依旧很好，因为漂流实在太太太好玩啦！愉快的一天就完美结束啦 希望你们都可以玩的开心🥳哦～ -
Heyetwyqtwy,2021-09-13T09:10:52.000Z,周末休闲的一个去处，门票50/人，漂流的话得一百多了，到终点返程乘车20元/人，不赶时间的话走路大概需要一个小时返回停车场。最近因下大雨里面正在清理整修，可以在峡谷穿行，但是漂流还得等下周预计恢复正常。
嘿嘿嘿,2021-09-05T15:21:41.000Z,之前漂流的次数也不多，本来要去尧山，但是尧山没有开门就去了豫西大峡谷，从洛阳出发大概也就一个多小时路程还是挺近的。先说优点吧:全程确实挺长的，装备也都不错排队也很有序，洗澡的地方也可以挺大的，有热水。缺点:水是真的不干净，特别的脏。安全方面也不太行，我们在过山洞的时候前面有个船卡在山洞中间了，我们从上面下来把他们一直顶出山洞了，船翻了人也落水了，船上的女生还不会游泳，还好我们很快就把她就上了，没什么大事，呛了几口水，全程没有看到一个工作人员，如果发生意外真的不堪设想，希望景区引起重视吧。
【已注销用户】,2021-09-02T13:56:18.000Z,以前总觉得秦岭峡谷挺棒的，但这一次刷新可我的认知！😃😃😃😃有两个山洞，记忆犹新，挺刺激的，有密闭恐惧症或者光线太暗眼前一片漆黑的建议别玩儿，会特别恐怖！漂流时间挺长，唯独要注意的是别去太晚人少，水流小，容易搁浅！明天夏天有空了再去玩儿吧……特色体验:伸手不见五指的山洞交通:自驾
做个饭桶,2021-07-26T04:00:21.000Z,在北京工作累了，就回运城故里休息休息！发小提议出去耍，后来选择去漂流，我们从河津出发自驾游花了2个多小时就到了，12点才能进去漂流，所以不要来的太早，来早可以进景区看看风景我的建议是2人一个船，3人有点太挤，漂流途中需要躺平，所以三人难免会磕磕碰碰。自驾游还是建议来景区自助买票，不要在旅游团跟前订票，体验感非常差总体来说玩得非常愉快，也很刺激。
楊啊楊_,2021-07-10T08:20:01.000Z,交通：开车很方便，直接就能开到门口，走不了多少路特色体验：早就听说了豫西大峡谷，整体还是可以的。tips：进口只有更衣室，没有洗浴的地方，所以还是需要把衣服送到结束地点，要不然就会像我们一样，湿着回到起点，没法洗澡。实际上我们觉得整体的路程有点短，1个半小时就结束了，中途还是有几个地方挺刺激的，还是好玩的。但是时间短就有点意犹未尽。
微草长青,2021-07-10T06:15:51.000Z,"1.距离洛阳市区3个小时车程2.重点说漂流及服务体验吧！a.印象最深的就是服务态度不行，虽然是星期天，也要加派人手啊啊！验票是个小妹妹，好多问题都解答不上来。b 团队票的话，漂流完可以再次进去看他人漂流，但系统bug,有的人进不去，咨询半天也没人解决C.漂流落差太大，总体玩下来1小时。做后一个涵洞，里面乌黑麻漆，没灯光。结束后需要自己抢码头停靠，否则上不到岸，而且上岸时没工作人员扶你，很有可能落水哈！d .船可以坐2～3人合适3.说消费吧！一个人漂流加消费总体250元/位景区外小铁盆5元一个，塑料盆10元3个——悄悄说下可以搞价哈！凉皮10元/碗，肉夹馍10元/个，门票不包含摆渡车和托运箱，摆渡车20元/位，漂流衣物托运10元一个铁箱——夏天换洗衣服拖鞋可以放下！返回到景点门口"
电玩阿龙,2021-07-07T04:58:51.000Z,非常好的一处漂流，但是这天人真的是超级多，排了很久的队，抢皮艇还导致了口角和争执，最后坐小车也因为排队争抢座位发生了吵架。漂流整体来说还是很好玩的，但是接待量跟客流已经失衡了，对于游客的体验真的很差。需要先抢设备，把设备抢到手才能下河，否则没有船桨和头盔，最好还是别下河了。漂流下来时间还是挺长的，也很刺激好玩，中途相互泼水，一定要有盆或者瓢，让你的体验度会倍增。。。
不见不散,2021-07-03T04:38:51.000Z,作为一个灵宝人，我从来没想过离家这么近的地方，还有这么好玩的一个地方。开车从灵宝到卢氏大概要一个小时50多公里。门票是在美团上提前三小时买的。158，感觉很值，前后玩了两个多小时。峡谷落差很大，还有好几次进洞出洞，里面是全黑的，非常刺激。用牙咬着手机，拍了好多视频，别人看了觉得很好玩儿，非常对得起4A景区的招牌
西安曲江减龄发型设计姜冰,2021-06-17T19:28:56.000Z,时间没选对  过来居然下雨了  打道回府
乔乔_,2021-06-16T02:22:43.000Z,交通:跟团从山西临汾出发79块钱来回的路费，还是很划算的特色体验:豫西大峡谷的特色就是安全了！！！工作人员超级多，基本上一路漂流下来都能看到工作人员。推荐理由:夏日必去的地方，太避暑了！去了就做好湿身的准备！简直不要太爽tips:1⃣带一套备用衣服和洗漱用品2⃣穿拖鞋或凉鞋
吃喝玩的mimikiki子,2021-06-14T07:23:33.000Z,从西安出发，大约4h到达，很近，也算说跨省旅行啦哈哈tips：峡谷漂流贯穿全程，很适合年轻人，由于我们跟着长辈，就是来走路吸氧的，于是走完了全程，但是漂流看起来太快乐了，来这个峡谷应该玩漂流，套票更划算省钱，一定要做好攻略，多带一套衣服，另外水也挺凉的建议大热天跑去玩水哈哈（水到身上有点腥）
暂未嫁丞人士,2021-01-31T14:17:04.000Z,交通：跟着导航走，非常好找，在村子里路况也不错，一路上风景很美。特色体验：漂流一定要体验的，有几个注意事项在这里跟大家分享下，以免大家踩雷，第一:3岁以下小孩不能坐。第二:下午五点后就不接受上船了。第三:救生衣非常脏，建议把防晒衣穿在救生衣里面。第四:一定要多带一套衣服，否则洗澡后没衣服换。推荐理由：整体体验感非常好，值得推荐
果冻冻妈妈,2020-11-03T03:05:57.000Z,十年前飘过一次惊险刺激令人念念不忘，十年后和闺蜜带上已长成小伙子的儿子和她家闺女再来飘一回！说实话内心是有些许忐忑，还记得那年翻船呛过的水为了陪儿子我也是拼了！儿子一路上大呼小叫玩的很爽，老妈舍命陪儿子也值了！天气有些阴飘完冻成🐶……
Sunshine,2020-09-08T16:09:59.000Z,有惊无险，很刺激的漂流。全线漂完差不多也有近两个小时了，上岸之后有免费的热水淋浴可以洗澡，这是再好不过的了。提前在出发点10元钱租了个寄存盒，把干净衣服洗漱用品托运到终点，上岸就可以拿着干衣服去洗澡了！
搁浅,2020-08-24T13:55:52.000Z,景区很不错 项目体检还可以 就是二号宾馆的饭实在是太贵了 我两个菜吃了八十多 啧啧啧 吃不起吃不起
小西瓜胖嘟嘟,2020-08-24T04:31:12.000Z,🚘从洛阳新安县出发来回六个小时的车程就为了来豫西大峡谷漂流这次漂流和我之前在张家界玩的漂流不一样全程是自己坐皮划艇玩不知道是这样的漂流所以准备工作完全没有做好一定要带齐换的衣服真的是从头湿到脚啊啊不会划皮划艇一开始玩耍区域就是在打转不管认识的不认识的反正水枪🔫互zi就对了！全程两个多小时挺惊险的 尤其是几个洞里又黑而且还从很高的地方就这样俯冲下来绝对刺激ps：🌞防晒真的真的一定要做好...两个小时真的晒黑了
多喝岩浆,2020-08-18T03:35:04.000Z,第二次去了，因为疫情人少了很多，玩的也非常尽兴，周边环境非常好，漂流设备也不贵，周末带上三两好友一起去吧
喂,2020-08-14T07:21:55.000Z,位置好，漂流也很不错，去的朋友多带一身换洗的干净衣服，漂下来浑身都是湿的。玻璃桥和观景台一般化，悬崖秋千还可以。最不满意的就是救生服太脏了，建议景区及时更换，还有好多安全头盔都不能用。想打水仗的朋友建议从家里带个瓢，其他的水枪啥的都不好用。
小肉汁儿,2020-08-07T06:22:45.000Z,夏季里最适和朋友一起小聚一起玩的项目就是漂流了，又清凉又好玩～🌊特色体验： 漂流前会有必看的安全游玩教学视频，然后选择适合自己的救生衣🦺和安全帽⛑️，拿上船桨就可以去待入区了可以两人一船，也可以三人一船，漂流总时长大概2个小时，时间足够玩了，中间有黑洞，还有陡坡的急流，非常刺激好玩，有一个陡坡漂下去还有失重的感觉，超级爽，还有最后一个洞口出去的时候，有种dun dun dun不断被托起的效果，真想玩第二遍哈哈漂流结束后，可以去淋浴，也可以直接坐上园区的车回到入口的地方再换衣服💰费用：门票➕漂流：158/成人园区车费：30/人🚙交通攻略：我们是和朋友一起自驾车过去的，这样比较方便，从郑州出发走高速需要3个小时左右📍地址：河南省三门峡市卢氏县官道口镇东汉村⏰营业时间：5月1--9月30期间，周一到周日：8:00-17:30，实际时间以当天客流量为准🔮贴心tips：1️⃣有小工具更好玩，比如水枪或者水瓢2️⃣想要随时用手机拍照的话，可以购买手机保护套3️⃣注意涂抹防晒霜注意防晒4️⃣戴眼镜的话可以向工作人员领取线绳，来固定眼镜不管是认识的朋友还是不认识的同游玩的人，都可以玩成一团，互相喷水，欢乐无限，是放松一下心情的好去处
