用户名,时间,评论内容
vdm745897687,2021/6/1,"豫西大峡谷位于三门峡市卢氏县官道口镇，夏日避暑玩水的好地方。我是自驾开车从洛阳去的，大概需要三个小时，停车费10元。说一下漂流体验。漂流开始是中午12点，起点在 <span class=""feedbackmore"">刘秀湖上，湖面很大。建议可以约上三两好友，在湖面上打打水仗，之后就是顺着漂流，有些地方水位较低小皮艇容易搁浅。绝大部分都是可以直接漂流而下，特色就是过乌黑的隧道，很刺激。推荐情侣一起玩。漂流到终点之后，可以选择步行回到漂流起点或者做景区小巴回去（每人20元），建议步行回去（大概四公里多）这样可以欣赏一下沿途的风景。漂流时长大概一刻不停的往下漂也就40分钟，建议可以边漂边玩。记着要在门口买水枪（防止别人泼你的时间没有还手的工具），手机防水袋和拖鞋，建议游玩时长半天。建议五六个伙伴一起游玩。 <i class=""text-icon icon-toggle-arrow"">"
xlo108750332,2021/10/26,很好玩比较推荐
LL刘先生Y,2021/7/10,"先说槽点 第一:没没有储物柜，只有更衣室，这一点非常不方便，去更衣室换完衣服还要花10块钱人工托运把衣服放回车上，这点我觉得非常不人性化 第二:漂流完洗浴的地方 <span class=""feedbackmore"">是在你漂流的终点，这个终点距离你漂流停车的或者始发的地方，步行回去大约40分钟，然后就是你穿一身湿露露的衣服洗个澡意义何在。漂流的终点距离始发地有公交车，一个人20元，坐车大概15分钟的样子给你送回始发地，也就是漂流的起点的位置。 第三:可能是夏天天气热人多的原因工作人员的服务态度中规中距，可以接受。 后说优点 第一☝️漂流整体很刺激，有三个山洞是最刺激的地方，乌漆麻黑的啥都看不到，给人特别惊险的感觉 第二:山谷中很凉快，不会特别晒，也不会完全暴露在太阳的下面，基本都有遮挡物这点很喜欢 第三:不停留的话时长大概是一个半小时到两个小时，就是漂流中途很容易堵，因为要一个一个下去，重要的关卡都会堵 第四:温馨提示要带小朋友的家长一定一定做好心理工作，我女儿6岁，吓哭了三次🤣🤣 总结：可以去尝试一下，票价158 元停车费10元 小交通费20 这是费用，也是最基本的支出，个人觉得中规中矩，性价比相对来说不会很高，毕竟同等价位，或者价位比这个低地方都去过。 <i class=""text-icon icon-toggle-arrow"">"
匿名用户,2021/6/14,"仅以此差评献给下图这个撑杆哥 我们在郑州开了4个小时跑过去玩，被他一句“别逼逼，这么多人，我想拉谁拉谁，不高兴你来！”整的兴趣全无！更甚期间3次推开我们费半天劲 <span class=""feedbackmore"">划过去的船，就因为我们让他考虑一下先来后到的顺序，玩过漂流的都知道，排闸口时的无奈，好不容易快排到了，下面人多限流了，需要继续等待，然后就会被后面的荡到旁边，力气小的等到下次开放的时候就又被荡到最后了、别的闸口的工作人员等待的时候都会说不要拉船，维护好顺序，考虑先来后到的顺序，有序推进！只有这个等待的时候全程玩手机，开放的时候我们这边提醒了一句考虑考虑顺序的时候，被一顿狂怼，一副大家都欠了他的模样……怒怼游客强烈反应出了他对于这个工作的不耐烦，玩手机说明了他的不负责，能引起大家的不满说明了他的不上心！第一次美团差评！！ <i class=""text-icon icon-toggle-arrow"">"
kVz707064984,2021/7/16,"提前预订还优惠了10元，整体感觉还可以。和朋友一起去的，非常凉快，下坡的时候和进山洞的时候特别刺激，中途也有卖水和食品的，非常方便。还有好多工作人员，看到卡住的 <span class=""feedbackmore"">我们都会帮忙哈哈哈。最后也有免费洗浴的地方，很舒服。 <i class=""text-icon icon-toggle-arrow"">"
赵现稳293,2021/10/7,服务非常周到，方便快捷
UoV718755435,2021/8/7,"太棒了好啊好啊好啊好啊好啊^o^~好啊^o^~好啊，啊啊啊啦吧，考虑考虑要不要我呢个朋友也是可以的话都给我说了句号的时候就是这样的你让我去我就去不让我说什么⊙∀ <span class=""feedbackmore"">⊙？⊙∀⊙？什么⊙∀⊙？⊙∀⊙？⊙∀⊙？⊙∀⊙？⊙∀⊙？⊙∀⊙？⊙∀⊙？⊙∀⊙？⊙∀⊙？ <i class=""text-icon icon-toggle-arrow"">"
匿名用户,2021/8/8,对于不会划船的我来说，一开始就遇到这样的湖，划不动又回不去，最后真是累惨了，下船后腿软，因为划的时间太久，坐船的也难受，下船后直接吐了。第二天我浑身疼了一天。
匿名用户,2021/7/8,"单景区票是48。漂流➕景区是158 。为啥漂流票不能分开卖票。只能说 漂流跟景区 不能一块耍。你去漂流 压根没有时间去逛景区。我去飘过两次了。景区里长啥样子我都 <span class=""feedbackmore"">不知道😂。漂流中间不停留的话 一个小时漂完，一个船坐仨人 ，船空间还算可以 时间长有点窝累慌。 <i class=""text-icon icon-toggle-arrow"">"
iHh844163164,2021/9/19,水有点黄，有点脏！感觉没有尧山漂流好玩！
淡水河边的鱼,2021/6/1,"「豫西大峡谷漂流」「大淙潭瀑布」「挡箭石崖」「濯足池」「三叠峡谷」 99元7月六日前无限次玩豫西大峡谷真不错，就是不错，还真不错，但是要刷身份证，要刷脸，刷刷刷 <span class=""feedbackmore"">，五月中下旬玩水还是有点冷，水也脏，买的99套票是含门票的，但是，车子的进门费还是要十元钱。不知道合理不合理。 <i class=""text-icon icon-toggle-arrow"">"
匿名用户,2021/9/10,一定要找个合适的天气去 拿好装备
灵丽宝丽,2021/8/21,这种淡旺季特别明显的景区，挣钱就三个月，所以去的时候人特别多，所以…服务好坏可以忍，漂流项目还是不错的
feel19782006,2021/9/10,今日营业么，想去漂流！景区电话没人
mzi464214325,2021/8/1,由于疫情原因今天排队的人不是太多，水量充沛刺激好玩，非常好的感受！
dds877157352,2021/6/21,"说实话去大峡谷的路上整个人都很开心放松，结果刚到停车场收费站，收费的大叔服务态度让我觉得简直有问题，首先停车我不是不掏钱，你用的着脸拉着跟我欠你几万块钱一样嘛！ <span class=""feedbackmore"">说话牛逼哄哄的，我都不知道怎么形容他让我觉得他整个人的职业态度都不正常，什么素质，真垃圾！ <i class=""text-icon icon-toggle-arrow"">"
杜经天,2021/7/4,"管理特别差，从停车场开始就特别乱，毫无管理可言，再者到排队验票根本没人管，插队人层出不穷，再到进场，所有东西全靠抢，抢到就能玩，抢不到就不能玩，那么高的运皮筏艇 <span class=""feedbackmore"">的几个大汉上去就抢，特别危险，本人在旁边站着都被划腿上，特别不建议来，一定不要来 <i class=""text-icon icon-toggle-arrow"">"
匿名用户,2021/7/4,"工作人员跟没有一样 该插队的插队 管理很不到位 建议学习一下别的漂流 总而言之 景区工作人员不负责任 不过在最后掏钱坐车回来的时候倒是挺负责 一个人返程二十块 <span class=""feedbackmore"">火眼金睛 但凡这点眼力见用到前面也不至于排队那么久 <i class=""text-icon icon-toggle-arrow"">"
匿名用户,2021/6/17,"简单说，卫生脏乱差， 水特别脏。溅到眼睛里眼睛都酸酸的睁不开眼。漂流穿的那个救生衣全是湿漉漉的，领口胸前都是一片片黑黑的脏，一件压一件湿漉漉的放着，也没及时晾晒 <span class=""feedbackmore"">，都长毛了，很臭。头盔也很脏，漂流完回程交通费20，想着也不远就决定慢悠悠的走回售票大厅，开始走了一节就要爬台阶，一眼望不到头的那种台阶，连续不间断的，听说999个，不知道是不是，反正爬的很累很累才走到大路上，上来距离景区大门还有4.1公里，索性又掏了10块钱坐的观光车。不是很推荐！反正我是不会去第二次了。 <i class=""text-icon icon-toggle-arrow"">"
C5213777,2021/7/14,太垃圾了，漂流还得自己划船，没一点安全系数。做回程车在掏20元。
一朵狗尾巴花花花,2021/8/27,还可以，孩子也能玩
小幸运xxx777,2021/8/27,还不错，就是太贵了，整体值得去
每天都能开心的,2021/6/23,真的tm，很刺激，停好车后，把换洗的衣服寄存一下到终点可以换干净衣服！别的别整就拿不锈钢盆够了，有三段都非常牛逼！差点给爷吓尿！
呼呼呼你也呼呼呼,2021/8/27,好玩好玩，就是其他项目还得单独收费
荣载,2021/6/28,漂流距离近7KM，水流大，穿洞过瀑布，紧张刺激，玩一趟还想玩第二遍，岸边风景秀丽，漂流完缓步观赏景点，顺带看看别人在漂流时的糗事也很惬意。
xiaoge555,2021/8/18,环境很好，特别刺激。感觉还没玩就结束了。。。。
MmN811434532,2021/7/10,漂流真的推荐打卡，两个多小时的漂流。带着小朋友去的还可以建议个男士去，中间有点小害怕。
xmxm0802,2021/8/18,环境一般 决绝了 无语了 太给力了 呜呜呜呜呜呜呜呜呜呜
XtG583650674,2021/6/13,"我是河南省郑州市的游客，我来到豫西大峡谷，这里的服务特别好，特别是门口的两位工作人员，他们和蔼可亲，礼貌待人，门口那位大爷服务态度更让我满意，我们一行五人询问了 <span class=""feedbackmore"">很多问题，他们都耐心为我们解答，他们还为我们介绍了豫西的漂流，悬崖秋千,跨瀑玻璃桥,喊泉等项目，我们玩的非常开心，他们还为我们介绍了百草园的七彩滑道,网红桥，丛林穿越等娱乐项目，我们玩的非常快乐，我会介绍我的朋友们来豫西大峡谷游玩。 <i class=""text-icon icon-toggle-arrow"">"
从头吃到尾LNN,2021/6/30,"几年前去过尧山 漂流刺激 也不需要自己划船太久 豫西大峡谷我们一点多钟下水到二点多左右才开始让漂 几乎在水里已经晃晕了…小的漂流位置非常蹲屁股，也非常少，自己划 <span class=""feedbackmore"">的部分较多，景区特色也就那三个黑洞比较刺激 划船快滑到吐 <i class=""text-icon icon-toggle-arrow"">"
lkpopfly,2021/6/14,"漂流规划安全设计刺激，有几个洞穿越漂流，有落差体验不错。 漂流规划安全设计刺激，有几个洞穿越漂流，有落差体验不错。 漂流规划安全设计刺激，有几个洞穿越漂流，有落 <span class=""feedbackmore"">差体验不错。 漂流规划安全设计刺激，有几个洞穿越漂流，有落差体验不错。 漂流规划安全设计刺激，有几个洞穿越漂流，有落差体验不错。 漂流规划安全设计刺激，有几个洞穿越漂流，有落差体验不错。 <i class=""text-icon icon-toggle-arrow"">"
UCW742419615,2021/8/5,很满意
石洁雨,2021/6/29,漂流前看视频注意事项，漂流时凉快刺激！全程有工作人员指导，赞
牛马安抚器8848,2021/7/4,垃圾景区 无秩序 无管理 无安保 拿游客生命开玩笑 第一次见景区游玩是靠 抢 的 第一次见退票人数那么 多 的 游客漂流未带头盔 骂人打架斗殴 谁抢到设备算谁的 垃圾景区
爱蛋蛋i,2021/7/14,人工滑行太多了 而且水也有点污 除了漂流票一五八以外 其它各项都收费 例如返程大巴车每人收二十😓 莲花拍照台 手掌拍照都得要重新买票 感觉各种吸钱💰
匿名用户,2021/7/10,美团显示换票时间到三点半 到地方人家三点就停止售票了 开俩小时车过去再开俩小时回来 咱不说让你拖延一会下班能不能按点来
匿名用户,2021/6/28,"从进豫西门口哪里都是收费的。停车费是正常价位 可以接受。大巴收费 拿换洗衣服收费 托运收费 （托运箱子小之又小 想放两人衣服根本不可能关键托运还不能托运车钥匙， <span class=""feedbackmore""> 在尧山的除了正常停车费门票费 不需要额外费用 。漂流的也一般 <i class=""text-icon icon-toggle-arrow"">"
